,产品,月销量,价格,店铺
0,Huawei/华为 华为畅享5S,16,¥619.00,旭翼数码专营店
1,Huawei/华为 c8818,41,¥398.00,莫拉克数码专营店
2,Huawei/华为 P7,4,¥549.00,莫拉克数码专营店
3,Huawei/华为 B199,5,¥379.00,玮希数码专营店
4,华为B199,1,¥499.00,莫拉克数码专营店
5,Huawei/华为 麦芒3S,3,¥569.00,莫拉克数码专营店
6,Huawei/华为 C199 麦芒,2,¥579.00,旭翼数码专营店
7,Huawei/华为 畅享6S,7,¥549.00,旭翼数码专营店
8,Huawei/华为 Q2,4981,¥799.00,华为官方旗舰店
9,Huawei/华为 CM-H2,3693,¥799.00,华为官方旗舰店
10,Huawei/华为 华为平板 M5 青春版,6419,¥2099.00,华为官方旗舰店
11,Huawei/华为 平板 M5 Pro,931,¥3888.00,华为官方旗舰店
12,Huawei/华为 平板 M5,3479,¥3288.00,华为官方旗舰店
13,Huawei/华为 平板 M5,1554,¥3388.00,华为官方旗舰店
14,Huawei/华为 畅享平板,3737,¥1599.00,华为官方旗舰店
15,Huawei/华为 MateBook X Pro MACH-W19,664,¥7988.00,华为官方旗舰店
16,Huawei/华为 MateBook X Pro MACH-W29,279,¥9988.00,华为官方旗舰店
17,Huawei/华为 MateBook X Pro MACH-W19独显版,4915,¥999.00,华为官方旗舰店
18,Huawei/华为 Matebook X WT-W09,266,¥8688.00,华为官方旗舰店
19,华为商务笔记本,522,¥6187.99,华为官方旗舰店
20,Huawei/华为 Matebook X WT-W19,80,¥8688.00,华为官方旗舰店
21,Huawei/华为 MateBook E BL-w19,4183,¥1488.00,华为官方旗舰店
22,Huawei/华为 平板 M5 青春版,198,¥6288.00,华为官方旗舰店
23,Huawei/华为 MateBook D MRC-W50,2403,¥1899.00,华为卓瑞尔专卖店
24,Huawei/华为 华为畅享平板,1657,¥1688.00,华为官方旗舰店
25,Huawei/华为 E5885Ls-93a,1023,¥5488.00,华为官方旗舰店
26,Huawei/华为 FreeBuds,686,¥1299.00,苏宁易购官方旗舰店
27,华为手环B5,1833,¥988.00,华为官方旗舰店
28,Huawei/华为 MateBook D MRC-W60,823,¥799.00,澳先数码专营店
29,华为儿童手表3 pro,387,¥998.00,能良数码官方旗舰店
30,Huawei/华为 MateBook D 2018款,3277,¥998.00,华为浤兴专卖店
31,Huawei/华为 CM-H1,1839,¥1288.00,华为莫问专卖店
32,Huawei/华为VR2,817,¥799.00,深达通数码专营店
33,华为S1724G-AC ,582,¥999.00,苏宁易购官方旗舰店
34,华为儿童手表3 pro,493,¥6648.00,华为上乘专卖店
35,Huawei/华为 E5771,827,¥988.00,华为浤兴专卖店
36,华为儿童电话手表3 Pro,272,¥1368.00,锐奇网信数码专营店
37,华为空气净化器H12,119,¥4988.00,宏百纳数码专营店
38,Huawei/华为 随行WiFi 2 Pro ,913,¥700.00,五洲联鑫数码专营店
39,华为智能手表watch,621,¥1288.00,文靖岚数码专营店
40,华为B5运动手环,2244,¥998.00,梓豪数码专营店
41,华为Watch GT,100,¥2288.00,苏宁易购官方旗舰店
42,华为FreeBuds2真无线蓝牙耳机,40,¥2098.00,华为官方旗舰店
43,,487,¥988.00,苏宁易购官方旗舰店
44,,68,¥699.00,沪浜数码专营店
45,,427,¥1668.00,迅优数码专营店
46,,849,¥988.00,华为约宝专卖店
47,,420,¥988.00,闪逸数码专营店
48,,331,¥1288.00,沙丁数码专营店
49,,54,¥699.00,宇荪数码专营店
50,,532,¥988.00,驷骑万成数码专营店
51,,3,¥15788.00,贝丰通信专营店
52,,162,¥1668.00,瀚誉办公专营店
53,,107,¥1288.00,顺电旗舰店
54,,109,¥1299.00,泽凯思数码专营店
55,,240,¥899.00,华为官方旗舰店
56,,46,¥1588.00,臻联数码专营
57,,972,¥978.00,华为小良米专卖店
58,,522,¥1288.00,远大数码专营店
59,,76,¥799.00,文靖岚数码专营店

